0,CombatZoneResize,219,239,429,379,,,,
0,heartmode,0,,,,,,,
0,HeartTeleport,323.5,308.5,,,,,,
0.1,SansText,[turn_6 text],,,,,,,
,,,,,,,,,
,SansBody,HandUp,,,,,,,
0,BoneStab,3,25,0.333,999,,,,
0,SansSlam,3,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.3166666,SansBody,HandDown,,,,,,,
0.25,BoneStab,1,25,0.333,999,,,,
0,SansSlam,1,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.216666,SansBody,HandRight,,,,,,,
0.2125,BoneStab,0,40,0.42416,999,,,,
0,SansSlam,0,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.286666,SansBody,HandLeft,,,,,,,
0.275,SansSlam,2,,,,,,,
0.1,SansAnimation,Idle,,,,,,,
0.1,BoneStab,2,90,0.65416,0.3333,,,,
0.0875,boneV,700,226,200,2,800,2,,
0,GasterBlaster,1,660,243.5,505.5,299.5,180,0.3,0.25
,,,,,,,,,
1.333333,boneV,700,226,200,2,800,2,,
0,GasterBlaster,1,660,383.5,505.5,327.5,180,0.3,0.25
0,BoneStab,2,90,0.65416,0.3333,,,,
1.333333,boneV,700,226,200,2,800,2,,
0,GasterBlaster,1,660,243.5,505.5,299.5,180,0.3,0.25
0,BoneStab,2,90,0.65416,0.3333,,,,
1.333333,boneV,700,226,200,2,800,2,,
0,GasterBlaster,1,660,383.5,505.5,327.5,180,0.3,0.25
0,BoneStab,2,90,0.65416,0.3333,,,,
1.333333,boneV,700,226,200,2,800,2,,
0,GasterBlaster,1,660,243.5,505.5,299.5,180,0.3,0.25
0,BoneStab,2,90,0.65416,0.3333,,,,
1.333333,boneV,700,226,200,2,800,2,,
0,GasterBlaster,1,660,383.5,505.5,327.5,180,0.3,0.25
0,BoneStab,2,90,0.65416,0.3333,,,,
1.333333,boneV,700,226,200,2,800,2,,
0,GasterBlaster,1,660,243.5,505.5,299.5,180,0.3,0.25
0,BoneStab,2,90,0.65416,0.3333,,,,
1.333333,boneV,700,226,200,2,800,2,,
0,,,,,,,,,
,GasterBlaster,1,660,243.5,505.5,299.5,180,0.3,0.25
0,BoneStab,2,90,0.65416,0.3333,,,,
1.333333,boneV,700,226,200,2,800,2,,
0,GasterBlaster,1,660,383.5,505.5,327.5,180,0.3,0.25
0,BoneStab,2,90,0.65416,0.3333,,,,
1.333333,boneV,700,226,200,2,800,2,,
0,GasterBlaster,1,660,243.5,505.5,294.5,180,0.3,0.25
0,BoneStab,2,90,0.65416,0.3333,,,,
1.333333,GasterBlaster,1,660,373.5,505.5,327.5,180,0.3,0.25
0,boneV,700,226,200,2,800,2,,
0,BoneStab,2,90,0.65416,0.3333,,,,
,,,,,,,,,
1.333333,GasterBlaster,1,660,243.5,505.5,294.5,180,0.3,0.25
0,GasterBlaster,1,281.5,546,281.5,495,-90,0.3,0.25
0,GasterBlaster,1,321.5,546,321.5,495,-90,0.3,0.25
0,boneV,700,226,200,2,800,1,,
0,boneV,700,226,200,2,800,1,,
0.1,boneV,700,226,200,2,800,1,,
0.1,boneV,700,226,200,2,800,1,,
0.1,boneV,700,226,200,2,800,1,,
1.2,BlackScreen,1,,,,,,,
0,BlackScreen,0,,,,,,,
0,endattack,,,,,,,,
