0,CombatZoneResize,219,239,429,379,,
0,HeartTeleport,323.5,308.5,,,,
0,HeartMode,1,,,,,
1.00E-11,SansText,[turn_7 text],,,,,
0.3,,,,,,,
0.375,SET,loop,0,,,,
0,ADD,loop,$loop,1,,,
0,BoneV,113.5,243.5,93,0,450,
0,BoneV,113.5,360.5,13,0,450,
,,,,,,,
,,,,,,,
0,BoneV,163.5,243.5,83,0,450,
0,BoneV,163.5,350.5,23,0,450,
,,,,,,,
0,BoneV,213.5,243.5,73,0,450,
0,BoneV,213.5,340.5,33,0,450,
,,,,,,,
0,BoneV,524.5,243.5,93,2,450,
,,,,,,,
0,BoneV,524.5,360.5,13,2,450,
,,,,,,,
0,BoneV,474.5,243.5,83,2,450,
0,BoneV,474.5,350.5,23,2,450,
0,BoneV,424.5,243.5,73,2,450,
0,BoneV,424.5,340.5,33,2,450,
0,boneV,10,226,200,0,430,1
0,boneV,630,226,200,2,430,1
0.05,bonestab,1,25,0,0.15,,
0.8,JMPL,7,$loop,19,,,
0.5,endattack,,,,,,
