0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,SET,Loop,11,,,
0,JMPZ,42,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,5,,,,
0,JMPREL,6,,,,
0,JMPREL,7,,,,
0,SansBody,HandRight,,,,
0,JMPREL,7,,,,
0,SansBody,HandDown,,,,
0,JMPREL,5,,,,
0,SansBody,HandLeft,,,,
0,JMPREL,3,,,,
0,SansBody,HandUp,,,,
0,JMPREL,1,,,,
0.2,SansSlam,$Direction,,,,
0.2,BoneStab,$Direction,40,0.2,0.05,
0,ADD,Direction2,$Direction,2,,
0,BoneStab,$Direction2,115,0.2,0.05,2
0,SUB,Direction3,$Direction2,4,,
0,BoneStab,$Direction3,115,0.2,0.05,2
,,,,,,
0,ADD,Direction2,$Direction,1,,
0,BoneStab,$Direction2,40,0.2,0.05,1
,,,,,,
0,SUB,Direction2,$Direction,3,,
0,BoneStab,$Direction2,40,0.2,0.05,1
,,,,,,
0,SUB,Direction2,$Direction,1,,
0,BoneStab,$Direction2,40,0.2,0.05,1
,,,,,,
0,ADD,Direction2,$Direction,3,,
0,BoneStab,$Direction2,40,0.2,0.05,1
0.2,JMPABS,6,,,,
0,EndAttack,,,,,
